Operon_name,Category,Function,Specific_function,Regulation
xtmA-xtmB-xkdE-etc,"stress adaptation, detoxification, redox-related metabolism",,,
ytrA-ytrB-ytrC-etc,"stress adaptation, detoxification, redox-related metabolism",cell envelope and stress-response,ABC transporter system,
lspA-ylyB-PyrR_pyaA-etc,"stress adaptation, detoxification, redox-related metabolism",cell envelope and stress-response,lipoprotein processing,
ywzH-dltA-dltB-etc,"stress adaptation, detoxification, redox-related metabolism",cell envelope and stress-response,putative envelope stress/detox system,
mntA-mntB-mntC-etc,"stress adaptation, detoxification, redox-related metabolism",metal homeostasis and oxidative stress,"Mn2+ uptake, protects against oxidative stresss",mntR
ycnK-ycnJ-ycnI,"stress adaptation, detoxification, redox-related metabolism",metal homeostasis and oxidative stress,"Cu homeostasis, metal detox, cofactor balance",
dhbA-dhbC-dhbE-etc,"stress adaptation, detoxification, redox-related metabolism",metal homeostasis and oxidative stress,"siderophore biosynthesis, iron/redox balance",fur
groES-groEL,"stress adaptation, detoxification, redox-related metabolism",general stress and protein quality control,protein folding under stress,
lepA-hemN-hrcA-etc,"stress adaptation, detoxification, redox-related metabolism",general stress and protein quality control,translation stress + anaerobic metabolism,
ytlP-ytlQ-ytlR-etc,"stress adaptation, detoxification, redox-related metabolism",transporters and detox systems,ABC transporter system,
ywbH-ywbG,"stress adaptation, detoxification, redox-related metabolism",transporters and detox systems,,
yxeF-yxeG-yxeH,"stress adaptation, detoxification, redox-related metabolism",transporters and detox systems,,
yoxC-yoxB-yoaA,"stress adaptation, detoxification, redox-related metabolism",transporters and detox systems,,
yusS-yusR-yusQ,"stress adaptation, detoxification, redox-related metabolism",transporters and detox systems,"putative ABC transporter, stress conditions, toxic compounds handling",
ykuH-ykuI,"stress adaptation, detoxification, redox-related metabolism",transporters and detox systems,"redox-active enzymes, detoxification (putative)",
rpsJ-rplC-rplD-etc,"stress adaptation, detoxification, redox-related metabolism",core growth machinery,ribosomal proteins,
rpoB-rpoC,"stress adaptation, detoxification, redox-related metabolism",core growth machinery,RNA polymerase core,
yqeG-yqeH-aroD-etc,"stress adaptation, detoxification, redox-related metabolism",core growth machinery,ribosome assembly,
trpE-trpD-trpC-etc,"stress adaptation, detoxification, redox-related metabolism",biosynthetic operons,,
hisZ-hizG-hisD-etc,"stress adaptation, detoxification, redox-related metabolism",biosynthetic operons,histidine biosynthesis,
purE-purK-purB-etc,"stress adaptation, detoxification, redox-related metabolism",biosynthetic operons,purine biosynthesis,
cggR-gapA-pgk-etc,"stress adaptation, detoxification, redox-related metabolism",carbon metabolism (fast growth conditions),glycolysis,
mtlA-mtlF-mtlD,"stress adaptation, detoxification, redox-related metabolism",carbon metabolism (fast growth conditions),mannitol utilization,
ykuQ-ykuR-ykuS,"stress adaptation, detoxification, redox-related metabolism",carbon metabolism (fast growth conditions),"redox reactions, detoxification, metabolic adaptation",
epsA-epsB-epsC-etc,"biofilm formation, multicellular behaviour, sessile lifestyle",,exopolysaccharide production,
tapA-sipW-tasA,"biofilm formation, multicellular behaviour, sessile lifestyle",biofilm matrix,"amyloid fibers production, structural scaffold of biofilm",
bslA,"biofilm formation, multicellular behaviour, sessile lifestyle",biofilm matrix,"hydrophobin-like protein, forms biofilm surface layer",
yqhV-spoIIIAA-spoIIIAB-etc,"biofilm formation, multicellular behaviour, sessile lifestyle",sporulation early-stage / stationary phase,biofilm transition to sporulation,
spsA-spsB-spsC-etc,"biofilm formation, multicellular behaviour, sessile lifestyle",sporulation early-stage / stationary phase,spore polysaccharide synthesis,
pksB-pksC-pksD-etc,"biofilm formation, multicellular behaviour, sessile lifestyle","secondary metabolims, competition","bacillaene production, antibiotic production",
sboA-sboX-albA-etc,"biofilm formation, multicellular behaviour, sessile lifestyle","secondary metabolims, competition","subtilosin productoin, antimicrobial peptide",
lspA-ylyB-PyrR_pyaA-etc,"biofilm formation, multicellular behaviour, sessile lifestyle",cell envelope and stress-response,lipoprotein processing,
ytrA-ytrB-ytrC-etc,"biofilm formation, multicellular behaviour, sessile lifestyle",cell envelope and stress-response,ABC transporter system,
dhbA-dhbC-dhbE-etc,"biofilm formation, multicellular behaviour, sessile lifestyle",nutrient scavenging systems,iron acquisition,fur
pstS-pstC-pstA-etc,"biofilm formation, multicellular behaviour, sessile lifestyle",nutrient scavenging systems,"phosphate uptake, often activated in dense biofilms",
flgB-flgC-fliE-etc,"biofilm formation, multicellular behaviour, sessile lifestyle",motility operons,flagellar assembly,
rpsJ-rplC-rplD-etc,"biofilm formation, multicellular behaviour, sessile lifestyle",core growth machinery,ribosomal proteins,
rpoB-rpoC,"biofilm formation, multicellular behaviour, sessile lifestyle",core growth machinery,RNA polymerase core,
yqeG-yqeH-aroD-etc,"biofilm formation, multicellular behaviour, sessile lifestyle",core growth machinery,ribosome assembly,
cggR-gapA-pgk-etc,"biofilm formation, multicellular behaviour, sessile lifestyle",carbon metabolism (fast growth conditions),glycolysis,
mtlA-mtlF-mtlD,"biofilm formation, multicellular behaviour, sessile lifestyle",carbon metabolism (fast growth conditions),mannitol utilization,
trpE-trpD-trpC-etc,"biofilm formation, multicellular behaviour, sessile lifestyle",biosynthetic operons,tryptophan biosynthesis,
hisZ-hizG-hisD-etc,"biofilm formation, multicellular behaviour, sessile lifestyle",biosynthetic operons,histidine biosynthesis,
purE-purK-purB-etc,"biofilm formation, multicellular behaviour, sessile lifestyle",biosynthetic operons,purine biosynthesis,
comGA-comGB-comGC-etc,competence and HGT,competence and DNA uptake,builds pseudopilus that pull DNA into the cell,
comEA-comEB-comEC,competence and HGT,competence and DNA uptake,"binds extracellular DNA, membrane channel for DNA import",
recA,competence and HGT,DNA processing and recombination,homologous recombination,
addB-addA-sbcD-etc,competence and HGT,DNA processing and recombination,DNA processing for recombination,
comK,competence and HGT,competence regulation,"regulon, activates competence genes",
comQ-comX-comP-etc,competence and HGT,competence regulation,"quorum sensing, competence induction",
sucC-sucD-dprA-etc,competence and HGT,DNA protection and processing,helps load RecA onto DNA,
ywpG-ssbB-glcR-etc,competence and HGT,DNA protection and processing,stabilize imported DNA,
spo0A,competence and HGT,DNA protection and processing,,
flgB-flgC-fliE-etc,competence and HGT,motility operons,flagellar assembly,
epsA-epsB-epsC-etc,competence and HGT,biofilm matrix,,
rpsJ-rplC-rplD-etc,competence and HGT,core growth machinery,ribosomal proteins,
immR-immA-int,competence and HGT,conjugation,,
xis-ydzL-ydcO-etc,competence and HGT,conjugation,,
katA,oxidative stress,peroxide detoxification,"catalase, peroxide stress",
ahpC-ahpF,oxidative stress,peroxide detoxification,aklyl hydroperoxide reductase,
yusZ-mrgA,oxidative stress,peroxide detoxification,DNA protection under oxidative stress,
zosA,oxidative stress,peroxide detoxification,helps maintain metal/redox balance,
trxA,oxidative stress,thiol-disulfide stress,reduces disulfide bonds,
trxB,oxidative stress,thiol-disulfide stress,reduces disulfide bonds,
bshA-bshB,oxidative stress,thiol-disulfide stress,"bacillithiol biosynthesis, equivalent to glutathione in other bacteria",
yjbI-yjbH,oxidative stress,thiol-disulfide stress,indirectly regulates many redox stress genes,
tpx-ytxK,oxidative stress,thiol-disulfide stress,thiol peroxidase,
yqgC-sodA,oxidative stress,superoxide stress response,superxode dismutases,
mntA-mntB-mntC-etc,oxidative stress,metal homeostasis and oxidative stress,"Mn2+ uptake, protects against oxidative stresss",mntR
ycnK-ycnJ-ycnI,oxidative stress,metal homeostasis and oxidative stress,"Cu homeostasis, metal detox, cofactor balance",
dhbA-dhbC-dhbE-etc,oxidative stress,metal homeostasis and oxidative stress,"siderophore biosynthesis, iron/redox balance",
yusV-yusU,oxidative stress,metal homeostasis and oxidative stress,iron acquisition ABC transporter,
yusZ-mrgA,oxidative stress,metal homeostasis and oxidative stress,"sequesters iron, reduces ROS damage",
ykuN-ykuO-ykuP,oxidative stress,metal homeostasis and oxidative stress,"electron transfer, substitutes iron-containing proteins under iron limitation, redox reactions",
groES-groEL,oxidative stress,general stress and protein quality control,protein folding under stress,
clpP,oxidative stress,general stress and protein quality control,removes oxidized/misfolded proteins,
dnaK-dnaJ,oxidative stress,general stress and protein quality control,"chaperone system, works with GroEL under stress",
hemA-hemX-hemC,oxidative stress,general stress and protein quality control,heme biosynthesis,
lepA-hemN-hrcA-etc,oxidative stress,general stress and protein quality control,translation stress + anaerobic metabolism,
dacF-spoIIAA-spoIIAB-etc,sporulation,early sporulation (stage 0-1),key for cell differentiation,
spo0M,sporulation,early sporulation (stage 0-1),early sporulation coordination,
spoVG,sporulation,early sporulation (stage 0-1),early sporulation regulatory protein,
spoIIGA-sigE-sigG,sporulation,early sporulation (stage 0-1),activation of regulator,
spoIID,sporulation,engulfment (stage II-III),"peptidoglycan degradation, required for engulfment of forespore",
spoIIM,sporulation,engulfment (stage II-III),"peptidoglycan degradation, required for engulfment of forespore",
gpr-spoIIP-yqxA,sporulation,engulfment (stage II-III),"peptidoglycan degradation, required for engulfment of forespore",
spoIIIAA-spoIIIAH,sporulation,engulfment (stage II-III),intercellular channel between mother cell and forespore,
spoIIQ,sporulation,engulfment (stage II-III),coordinates engulfment and signaling,
yqhV-spoIIIAA-spoIIIAB-etc,sporulation,engulfment (stage II-III),biofilm transition to sporulation,
spoIVA,sporulation,late sporulation (stage IV-V),spore coat assembly,
spoIVB,sporulation,late sporulation (stage IV-V),spore coat assembly,
cotSA-cotS-ytxO,sporulation,late sporulation (stage IV-V),,
cotQ,sporulation,late sporulation (stage IV-V),,
ydgB-ydgA-cotP,sporulation,late sporulation (stage IV-V),coat assembly,
cotJA-cotJB-cotJC-etc,sporulation,late sporulation (stage IV-V),"structural proteins, coat organization",
cotY-cotZ,sporulation,late sporulation (stage IV-V),"late sporulation markers, spore crust",
cotE,sporulation,late sporulation (stage IV-V),outer coat layers,
spsA-spsB-spsC-etc,sporulation,late sporulation (stage IV-V),spore polysaccharide synthesis,
spoVD,sporulation,late sporulation (stage IV-V),cortex peptidoglytcan synthesis,
sspA-sspE,sporulation,forespore-specific,protect DNA in spores,
sspsB,sporulation,forespore-specific,,
spoVT,sporulation,forespore-specific,regulates late forespore genes,
spoIVFA-spoIVFB-ldlU-etc,sporulation,mother cell-specific operons,,
gerE,sporulation,mother cell-specific operons,spore germination (late stage),
gerR,sporulation,mother cell-specific operons,spore germination (late stage),
gerKA-gerKC-gerKB,sporulation,mother cell-specific operons,spore germination (late stage),
gerAA-gerAB-gerBC,sporulation,mother cell-specific operons,spore germination (late stage),
gerR,sporulation,mother cell-specific operons,spore germination (late stage),
katA,sporulation,metabolic operons linked to sporulation,"catalase, peroxide stress, protect developing spore",
mntA-mntB-mntC-etc,sporulation,metabolic operons linked to sporulation,"Mn2+ uptake, protects against oxidative stresss",
dhbA-dhbC-dhbE-etc,sporulation,metabolic operons linked to sporulation,iron acquisition,
mntA-mntB-mntC-etc,metal homeostasis / ion transport,metal homeostasis and oxidative stress,"Mn2+ uptake, protects against oxidative stresss",mntR
dhbA-dhbC-dhbE-etc,metal homeostasis / ion transport,metal homeostasis and oxidative stress,"siderophore biosynthesis, iron/redox balance",fur
feuA-feuB-feuC-etc,metal homeostasis / ion transport,metal homeostasis and oxidative stress,uptake of ferric-bacillibactin complex,
yusE-yusD,metal homeostasis / ion transport,metal homeostasis and oxidative stress,"transport in membrane, stress adaptation, metal interaction (putative)",
yusV-yusU,metal homeostasis / ion transport,metal homeostasis and oxidative stress,"iron acquisition, part of bacillibactin uptake system",
ykuN-ykuO-ykuP,metal homeostasis / ion transport,metal homeostasis and oxidative stress,iron transport (putative),
ycnK-ycnJ-ycnI,metal homeostasis / ion transport,metal homeostasis and oxidative stress,"Cu homeostasis, metal detox, cofactor balance",
csoR-copZ-copA,metal homeostasis / ion transport,metal homeostasis and oxidative stress,copper detoxification/export,
znuA-znuC-znuB,metal homeostasis / ion transport,metal homeostasis and oxidative stress,zinc transporter,zur
zosA,metal homeostasis / ion transport,metal homeostasis and oxidative stress,uptake of Zn 2+ under oxidative stress,
pstS-pstC-pstA-etc,metal homeostasis / ion transport,metal homeostasis and oxidative stress,"phosphate uptake, often activated in dense biofilms",
tuaA/2-tuaA/1-tuaB-etc,metal homeostasis / ion transport,metal homeostasis and oxidative stress,replaces teichoic acids to save phosphate,
mgtE,metal homeostasis / ion transport,metal homeostasis and oxidative stress,Mg 2+ transporter,
yloB-yloC-yrkD,metal homeostasis / ion transport,metal homeostasis and oxidative stress,Putative ion transport,
opuAA-opuAB-opuAC,metal homeostasis / ion transport,osmoprotection,helps balance osmotic and ionic stress,
ytrA-ytrB-ytrC-etc,metal homeostasis / ion transport,detoxification,ABC transporter system,
ytlP-ytlQ-ytlR-etc,metal homeostasis / ion transport,detoxification,ABC transporter system,
bstA,metal homeostasis / ion transport,detoxification,putative detox/export system,
bstB,metal homeostasis / ion transport,detoxification,putative detox/export system,
bstC,metal homeostasis / ion transport,detoxification,putative detox/export system,
tagA-tagB,cell envelope / surface remodeling ,surface chemistry,"teichoic acid biosynthesis, controls cell surface charge and interaction with metals and ions",
tagD-tagE-tagF-etc,cell envelope / surface remodeling ,surface chemistry,"teichoic acid biosynthesis, controls cell surface charge and interaction with metals and ions",
tuaA/2-tuaA/1-tuaB-etc,cell envelope / surface remodeling ,surface chemistry,replaces teichoic acids to save phosphate,
lspA-ylyB-PyrR_pyaA-etc,cell envelope / surface remodeling ,membrane maturation / remodeling,processes membrane-anchored proteins,
ykuE-ldt-ykuC,cell envelope / surface remodeling ,membrane maturation / remodeling,"peptidoglycan remodeling, cell wall rigidity, resistance to stress",
hrpK-lgt-yvoD-etc,cell envelope / surface remodeling ,membrane maturation / remodeling,lipoprotein maturation,
lytA-lytB-lytC,cell envelope / surface remodeling ,cell wall turnover,"peptidoglycan modeling, cell growth, biofilm formation",
lytF,cell envelope / surface remodeling ,cell wall turnover,,
lytD,cell envelope / surface remodeling ,cell wall turnover,,
lytE,cell envelope / surface remodeling ,cell wall turnover,,
epsA-epsB-epsC-etc,cell envelope / surface remodeling ,interface with surface,exopolysaccharide production,
spsA-spsB-spsC-etc,cell envelope / surface remodeling ,interface with surface,spore polysaccharide synthesis,
ywzH-dltA-dltB-etc,cell envelope / surface remodeling ,cell envelope stress-response,putative envelope stress/detox system,
ycnK-ycnJ-ycnI,cell envelope / surface remodeling ,cell envelope stress-response,"Cu homeostasis, metal detox, cofactor balance",
opuAA-opuAB-opuAC,cell envelope / surface remodeling ,cell envelope stress-response,helps balance osmotic and ionic stress,
pstS-pstC-pstA-etc,cell envelope / surface remodeling ,cell envelope stress-response,"phosphate uptake, often activated in dense biofilms",
divIVA,cell envelope / surface remodeling ,envelope,"septum formation, envelope structure",
ftsA-ftsZ,cell envelope / surface remodeling ,envelope,"septum formation, envelope structure",
yxbB-yxbA-yxnB-etc,cell envelope / surface remodeling ,envelope,"organizes membrane microdomains, surface adaptation",
yqeZ-floA-yqfB,cell envelope / surface remodeling ,envelope,envelope/metabolism,
yloB-yloC-yrkD,cell envelope / surface remodeling ,envelope,Putative ion transport,
cggR-gapA-pgk-etc,central metabolism / energy metabolism,glycolysis (core carbon metabolism),glycolysis,
gapB-speD,central metabolism / energy metabolism,glycolysis (core carbon metabolism),gluconeogenesis,
pta,central metabolism / energy metabolism,acetate metabolism (overflow metabolism),,
ackA,central metabolism / energy metabolism,acetate metabolism (overflow metabolism),,
citZ-icd-mdh,central metabolism / energy metabolism,TCA cycle and respiration,TCA enzymes,
sdhC-sdhA-sdhB,central metabolism / energy metabolism,TCA cycle and respiration,succinate dehydrogenase,
yusI-gcvH-yusG,central metabolism / energy metabolism,TCA cycle and respiration,contributes to NADH/NAD+ balance,
mtlA-mtlF-mtlD,central metabolism / energy metabolism,carbon source uptake and PTS systems,mannitol uptake (PTS system),
trpE-trpD-trpC-etc,central metabolism / energy metabolism,amino acids biosynthesis,tryptophan biosynthesis,
hisZ-hizG-hisD-etc,central metabolism / energy metabolism,biosynthetic operons,histidine biosynthesis,
purE-purK-purB-etc,central metabolism / energy metabolism,nucleotide biosynthesis,purine biosynthesis,
yqeG-yqeH-aroD,central metabolism / energy metabolism,nucleotide biosynthesis,aromatic amino acids biosynthesis,
gcaD-prs-ctc-etc,central metabolism / energy metabolism,nucleotide biosynthesis,PRPP production ,
zwf,central metabolism / energy metabolism,pentose phosphate pathway / redox metabolism,,
polY1-gndA,central metabolism / energy metabolism,pentose phosphate pathway / redox metabolism,,
ldh,central metabolism / energy metabolism,fermentation,lactate dehydrogenase,
alsS-alsD,central metabolism / energy metabolism,fermentation,acetoin production,
rpsU-yqeY,central metabolism / energy metabolism,translation machinery,protein synthesis machinery,
