dnaA	GO:0000166	nucleotide binding
dnaA	GO:0003677	DNA binding
dnaA	GO:0003688	DNA replication origin binding
dnaA	GO:0005515	protein binding
dnaA	GO:0005524	ATP binding
dnaA	GO:0005737	cytoplasm
dnaA	GO:0006260	DNA replication
dnaA	GO:0006270	DNA replication initiation
dnaA	GO:0006275	regulation of DNA replication
dnaA	GO:0017111	nucleoside-triphosphatase activity
dnaA	GO:0043565	sequence-specific DNA binding
dnaA	GO:0098847	sequence-specific single stranded DNA binding
dnaN	GO:0003677	DNA binding
dnaN	GO:0003887	DNA-directed DNA polymerase activity
dnaN	GO:0005737	cytoplasm
dnaN	GO:0006260	DNA replication
dnaN	GO:0006261	DNA-dependent DNA replication
dnaN	GO:0008408	3'-5' exonuclease activity
dnaN	GO:0009360	DNA polymerase III complex
dnaN	GO:0016740	transferase activity
dnaN	GO:0016779	nucleotidyltransferase activity
dnaN	GO:0090305	nucleic acid phosphodiester bond hydrolysis
yaaA	GO:0003723	RNA binding
recF	GO:0000166	nucleotide binding
recF	GO:0003677	DNA binding
recF	GO:0003697	single-stranded DNA binding
recF	GO:0005524	ATP binding
recF	GO:0005737	cytoplasm
recF	GO:0006260	DNA replication
recF	GO:0006281	DNA repair
recF	GO:0006302	double-strand break repair
recF	GO:0006974	cellular response to DNA damage stimulus
recF	GO:0009295	nucleoid
recF	GO:0009432	SOS response
recF	GO:0043590	bacterial nucleoid
remB	GO:0042710	biofilm formation
gyrB	GO:0000166	nucleotide binding
gyrB	GO:0000287	magnesium ion binding
gyrB	GO:0003677	DNA binding
gyrB	GO:0003916	DNA topoisomerase activity
gyrB	GO:0003918	DNA topoisomerase type II (ATP-hydrolyzing) activity
gyrB	GO:0005524	ATP binding
gyrB	GO:0005694	chromosome
gyrB	GO:0005737	cytoplasm
gyrB	GO:0006261	DNA-dependent DNA replication
gyrB	GO:0006265	DNA topological change
gyrB	GO:0007059	chromosome segregation
gyrB	GO:0009295	nucleoid
gyrB	GO:0016853	isomerase activity
gyrB	GO:0046872	metal ion binding
gyrA	GO:0000166	nucleotide binding
gyrA	GO:0003677	DNA binding
gyrA	GO:0003916	DNA topoisomerase activity
gyrA	GO:0003918	DNA topoisomerase type II (ATP-hydrolyzing) activity
gyrA	GO:0005524	ATP binding
gyrA	GO:0005694	chromosome
gyrA	GO:0005737	cytoplasm
gyrA	GO:0006261	DNA-dependent DNA replication
gyrA	GO:0006265	DNA topological change
gyrA	GO:0007059	chromosome segregation
gyrA	GO:0009295	nucleoid
gyrA	GO:0016853	isomerase activity
guaB	GO:0000166	nucleotide binding
guaB	GO:0003824	catalytic activity
guaB	GO:0003938	IMP dehydrogenase activity
guaB	GO:0006164	purine nucleotide biosynthetic process
guaB	GO:0006177	GMP biosynthetic process
guaB	GO:0016491	oxidoreductase activity
guaB	GO:0030554	adenyl nucleotide binding
guaB	GO:0046872	metal ion binding
guaB	GO:0055114	oxidation-reduction process
dacA	GO:0004180	carboxypeptidase activity
dacA	GO:0005576	extracellular region
dacA	GO:0005618	cell wall
dacA	GO:0006508	proteolysis
dacA	GO:0008233	peptidase activity
dacA	GO:0008360	regulation of cell shape
dacA	GO:0009002	serine-type D-Ala-D-Ala carboxypeptidase activity
dacA	GO:0009252	peptidoglycan biosynthetic process
dacA	GO:0016787	hydrolase activity
pdxS	GO:0003824	catalytic activity
pdxS	GO:0008152	metabolic process
pdxS	GO:0016829	lyase activity
pdxS	GO:0034301	endospore formation
pdxS	GO:0042823	pyridoxal phosphate biosynthetic process
pdxT	GO:0006541	glutamine metabolic process
pdxT	GO:0006543	glutamine catabolic process
pdxT	GO:0016740	transferase activity
pdxT	GO:0042823	pyridoxal phosphate biosynthetic process
serS	GO:0000166	nucleotide binding
