seqnames	start	end	strand	bsg_id	gene	locus_tag	operon_id
basu168	24	297	-	BSGatlas-gene-1	S2	NEW_24_297_C	BSGatlas-operon-2
basu168	6994	9459	+	BSGatlas-gene-10	gyrA	BSU_00070	BSGatlas-operon-4
basu168	82864	84276	+	BSGatlas-gene-100	pabB	BSU_00740	BSGatlas-operon-37
basu168	905010	905672	+	BSGatlas-gene-1000	lnrK	BSU_08300	BSGatlas-operon-460
basu168	905816	906751	+	BSGatlas-gene-1001	lnrL	BSU_08310	BSGatlas-operon-461
basu168	906764	907954	+	BSGatlas-gene-1002	lnrM	BSU_08320	BSGatlas-operon-461
basu168	907968	909125	+	BSGatlas-gene-1003	lnrN	BSU_08330	BSGatlas-operon-461
basu168	909198	909746	-	BSGatlas-gene-1004	padR	BSU_08340	BSGatlas-operon-462
basu168	910019	910651	+	BSGatlas-gene-1005	lipB	BSU_08350	BSGatlas-operon-463
basu168	910840	911928	+	BSGatlas-gene-1006	yfiQ	BSU_08360	BSGatlas-operon-464
basu168	911330	911718	-	BSGatlas-gene-1007	S286	NEW_911330_911718_C	BSGatlas-operon-465
basu168	911964	912581	-	BSGatlas-gene-1008	yfiR	BSU_08370	BSGatlas-operon-466
basu168	912547	913800	-	BSGatlas-gene-1009	yfiS	BSU_08380	BSGatlas-operon-466
basu168	84290	84874	+	BSGatlas-gene-101	pabA	BSU_00750	BSGatlas-operon-37
basu168	913924	914460	+	BSGatlas-gene-1010	bstA	BSU_08390	BSGatlas-operon-467
basu168	914457	916013	-	BSGatlas-gene-1011	yfiU	BSU_08400	BSGatlas-operon-468
basu168	916124	916606	-	BSGatlas-gene-1012	yfiV	BSU_08410	BSGatlas-operon-469
basu168	916778	919348	+	BSGatlas-gene-1013	mprF	BSU_08425	BSGatlas-operon-470
basu168	919366	920343	-	BSGatlas-gene-1014	yfiY	BSU_08440	BSGatlas-operon-471
basu168	920474	921475	+	BSGatlas-gene-1015	yfiZ	BSU_08450	BSGatlas-operon-472
basu168	921472	922503	+	BSGatlas-gene-1016	yfhA	BSU_08460	BSGatlas-operon-472
basu168	922618	923499	+	BSGatlas-gene-1017	yfhB	BSU_08470	BSGatlas-operon-473
basu168	923587	924171	+	BSGatlas-gene-1018	yfhC	BSU_08480	BSGatlas-operon-473
basu168	924210	924401	-	BSGatlas-gene-1019	yfhD	BSU_08490	BSGatlas-operon-474
basu168	84874	85755	+	BSGatlas-gene-102	pabC	BSU_00760	BSGatlas-operon-37
basu168	924468	924578	-	BSGatlas-gene-1020	yfhE	BSU_08500	BSGatlas-operon-474
basu168	924633	925544	-	BSGatlas-gene-1021	yfhF	BSU_08510	BSGatlas-operon-474
basu168	925633	926427	+	BSGatlas-gene-1022	recX	BSU_08520	BSGatlas-operon-475
basu168	926429	926743	+	BSGatlas-gene-1023	yfhH	BSU_08530	BSGatlas-operon-475
basu168	926651	926919	-	BSGatlas-gene-1024	S289	NEW_926651_926919_C	NA
basu168	926886	928079	+	BSGatlas-gene-1025	yfhI	BSU_08540	BSGatlas-operon-476
basu168	928112	928264	-	BSGatlas-gene-1026	sspK	BSU_08550	BSGatlas-operon-477
basu168	928389	928658	+	BSGatlas-gene-1027	yfhJ	BSU_08560	BSGatlas-operon-478
basu168	928803	929321	+	BSGatlas-gene-1028	yfhK	BSU_08570	BSGatlas-operon-479
basu168	929406	929738	+	BSGatlas-gene-1029	yfhL	BSU_08580	BSGatlas-operon-479
basu168	85737	86594	+	BSGatlas-gene-103	sul	BSU_00770	BSGatlas-operon-37
basu168	929725	930585	+	BSGatlas-gene-1030	yfhM	BSU_08590	BSGatlas-operon-479
basu168	930818	931807	+	BSGatlas-gene-1031	csbB	BSU_08600	BSGatlas-operon-480
basu168	931879	934464	+	BSGatlas-gene-1032	yfhO	BSU_08610	BSGatlas-operon-480
basu168	934457	935440	-	BSGatlas-gene-1033	yfhP	BSU_08620	BSGatlas-operon-481
basu168	935656	936765	+	BSGatlas-gene-1034	mutY	BSU_08630	BSGatlas-operon-482
basu168	936773	936997	-	BSGatlas-gene-1035	yfhS	BSU_08640	BSGatlas-operon-483
basu168	937079	937831	+	BSGatlas-gene-1036	fabL	BSU_08650	BSGatlas-operon-482
basu168	937900	938154	+	BSGatlas-gene-1037	sspE	BSU_08660	BSGatlas-operon-482
basu168	938243	938587	+	BSGatlas-gene-1038	ygaB	BSU_08670	BSGatlas-operon-484
basu168	938731	939261	+	BSGatlas-gene-1039	ygaC	BSU_08680	BSGatlas-operon-485
basu168	86587	86949	+	BSGatlas-gene-104	folB	BSU_00780	BSGatlas-operon-37
basu168	939349	941091	+	BSGatlas-gene-1040	ygaD	BSU_08690	BSGatlas-operon-485
basu168	941168	942229	-	BSGatlas-gene-1041	ygaE	BSU_08700	BSGatlas-operon-486
basu168	942449	943738	-	BSGatlas-gene-1042	gsaB	BSU_08710	BSGatlas-operon-487
basu168	943891	944364	+	BSGatlas-gene-1043	ygaF	BSU_08720	BSGatlas-operon-488
basu168	944487	944924	+	BSGatlas-gene-1044	perR	BSU_08730	BSGatlas-operon-488
basu168	944959	945312	-	BSGatlas-gene-1045	ygzB	BSU_08740	BSGatlas-operon-489
basu168	945520	946404	+	BSGatlas-gene-1046	ygxA	BSU_08750	BSGatlas-operon-490
basu168	946634	946701	-	BSGatlas-gene-1047	Bacillaceae-1	NA	BSGatlas-operon-491
basu168	946696	948250	+	BSGatlas-gene-1048	rrnD-16S	BSU_RRNA_22	BSGatlas-operon-490
basu168	948417	951345	+	BSGatlas-gene-1049	rrnD-23S	BSU_RRNA_17	BSGatlas-operon-490
basu168	86946	87449	+	BSGatlas-gene-105	folK	BSU_00790	BSGatlas-operon-37
basu168	951456	951572	+	BSGatlas-gene-1050	rrnD-5S	BSU_RRNA_18	BSGatlas-operon-490
basu168	951581	951656	+	BSGatlas-gene-1051	trnD-Asn	BSU_TRNA_29	BSGatlas-operon-490
basu168	951661	951753	+	BSGatlas-gene-1052	trnD-Ser	BSU_TRNA_30	BSGatlas-operon-490
basu168	951787	951859	+	BSGatlas-gene-1053	trnD-Glu	BSU_TRNA_31	BSGatlas-operon-490
basu168	951868	951944	+	BSGatlas-gene-1054	trnD-Val	BSU_TRNA_32	BSGatlas-operon-490
basu168	951953	952030	+	BSGatlas-gene-1055	trnD-Met	BSU_TRNA_33	BSGatlas-operon-490
basu168	952041	952118	+	BSGatlas-gene-1056	trnD-Asp	BSU_TRNA_34	BSGatlas-operon-490
basu168	952130	952206	+	BSGatlas-gene-1057	trnD-Phe	BSU_TRNA_35	BSGatlas-operon-490
basu168	952211	952284	+	BSGatlas-gene-1058	trnD-Thr	BSU_TRNA_36	BSGatlas-operon-490
basu168	952306	952391	+	BSGatlas-gene-1059	trnD-Tyr	BSU_TRNA_37	BSGatlas-operon-490
basu168	87401	87610	+	BSGatlas-gene-106	yazB	BSU_00800	BSGatlas-operon-37
basu168	952396	952470	+	BSGatlas-gene-1060	trnD-Trp	BSU_TRNA_38	BSGatlas-operon-490
basu168	952494	952570	+	BSGatlas-gene-1061	trnD-His	BSU_TRNA_39	BSGatlas-operon-490
basu168	952579	952651	+	BSGatlas-gene-1062	trnD-Gln	BSU_TRNA_40	BSGatlas-operon-490
basu168	952700	952775	+	BSGatlas-gene-1063	trnD-Gly	BSU_TRNA_41	BSGatlas-operon-490
basu168	952780	952851	+	BSGatlas-gene-1064	trnD-Cys	BSU_TRNA_42	BSGatlas-operon-490
